ZCTA,Total_Pop,P_BelowPovLevel,P_Unemployed,P_less_than_HS_grad,P_uninsured
29546,2581,32.3,15.5,15.28839472,26.28398792
29547,1916,27.8,18.4,27.89179104,16.17250674
29550,30838,18.8,12.9,14.01262178,15.94839852
29554,9105,30.2,11.3,17.62605042,22.73949038
29555,6325,17.4,14.4,16.55913978,14.95988674
29556,12477,33.2,16.8,11.72332943,23.1238158
29560,12280,30.6,19.8,20.65563818,17.85353731
29563,2608,37.9,13.9,10.25848142,15.7659488
29564,931,39.4,4.5,12.12121212,27.44827586
29565,7931,29.5,20.8,20.67741054,20.14604251
29566,15839,15.2,8,9.19272566,22.82717283
29567,667,38.4,1.6,31.5625,8.529411765
29568,13296,19,13.5,7.298013245,14.83701761
29569,16229,25.4,11.1,20.16879732,23.91044588
29570,4383,33.6,18.1,20.33317001,19.81917678
29571,15917,24.2,18.3,10.69994982,16.17684641
29572,8673,8,9,6.570181484,21.24816086
29574,12024,26.6,13.4,12.47350399,22.00858369
29575,15348,9.6,12.1,5.168726236,18.72151743
29576,24422,7.8,8.7,5.538874842,17.91605096
29577,26980,26.7,13.7,18.45530615,35.53526609
29579,30340,14,10.5,5.078079815,22.08290446
29580,1455,27.2,19.5,21.39737991,24.4
29581,4302,26.3,11.7,17.95703283,16.80984444
29582,14534,8.6,10.2,9.971615451,20.38704475
29583,5566,19.4,14.1,20.70844687,19.03203583
29584,2590,22.5,7.6,17.93721973,16.89683184
29585,12929,6.5,7.8,3.66023166,10.70437327
29588,35589,16.6,11.1,9.803824187,24.94977571
29590,2483,26.9,20.8,11.85344828,32.59289176
29591,5272,19.5,10.3,23.49152542,20.43137255
29592,1020,24.8,10.9,18.11145511,14.48007775
29593,2260,11.3,12.7,16.31205674,16.36212625
29594,122,8.2,12.5,31.57894737,1.639344262
29596,2537,25.3,14.9,23.96212673,21.97490894
29601,9270,25.5,15.4,18.29503596,15.81223629
29605,33960,19.8,11.4,15.28441164,17.9565947
29607,34285,13.4,9.9,8.231878152,17.60974514
29609,27769,21.4,9.2,17.25939321,21.29436326
29611,29048,34.5,14.3,27.851832,29.41791565
29613,0,-,5.1,0,5.443037975
29614,162,17.3,3.4,0,4.45026178
29615,32450,9.2,8.1,5.418691055,13.06477287
29617,25282,26.8,11.8,22.63639182,23.85324582
29620,13198,26.2,15.7,18.12395818,15.15081564
29621,38711,12.6,9.7,9.800872749,12.60267255
29624,14119,35.5,19.9,28.31056794,20.12854221
29625,26633,14.4,12.1,14.26011441,18.13624631
29626,13305,20,13.1,20.54289103,19.7045045
29627,17582,14.8,11.8,15.79399142,16.08670182
29628,2588,18.5,20.3,23.43532684,20.18587361
29630,13652,25.2,9.8,10.30608922,12.98946046
29631,12893,37.1,8.5,2.493551161,5.376344086
29634,116,100,14.5,0,4.326772883
29635,1376,10.4,18.6,19.3006993,16.85633001
29638,2862,11.3,16.1,12.65969803,25.83936801
29639,1240,9.3,7.2,8.805031447,13.37813073
29640,30650,15.9,10.8,18.50340136,16.15992653
29642,29303,9.4,9.8,11.09907614,12.29701596
29643,2664,10.9,7.9,17.38305942,18.02469136
29644,19475,17.6,12.3,12.8403526,18.42147565
29645,10044,20.8,13,21.96367764,14.26694405
29646,27982,31.4,17.3,21.1601494,20.57842047
29649,23074,9,10,8.317809994,12.38083794
29650,33469,8.7,6.9,6.032164514,13.136872
29651,43706,15.5,9.5,14.21054847,14.11052573
29653,5453,16.2,19.8,23.18892045,17.67259198
29654,10106,14.1,14,16.10184372,17.03943496
29655,6951,23.4,8,20.11621472,13.29463792
29657,14035,17.7,16.3,19.38337453,16.95042223
29658,292,10.6,0,11.57894737,14.14473684
29659,201,40.3,26.4,30.88235294,9.210526316
29661,5659,15.4,13.7,29.54248366,22.16256249
29662,14456,8.8,9,7.412317705,15.95656954
29664,1599,10.6,8.8,7.219827586,11.78470255
29665,63,23.8,0,0,0
29666,6525,13.5,15.2,14.61972588,18.30861841
29667,218,18.8,11.1,34.64566929,17.4796748
29669,11998,16.7,9.8,15.87727137,17.87254822
29670,8852,24.7,9,12.72727273,15.93830334
29671,16754,15.2,13.9,16.90852413,15.92972877
29672,11347,14.7,9.4,7.695209355,11.56546157
29673,24637,12,12.6,12.1915925,14.94677131
29676,5198,12.5,14.3,6.160572337,17.29771286
29678,21600,24.8,16.3,13.43012704,18.27404301
29680,26899,9.1,7.5,5.531802934,12.63066202
29681,48030,6.7,7.1,4.266995184,10.09880584
29682,3633,11.1,18.3,13.06179775,17.76248726
29683,293,37.2,0,82.53968254,64.46280992
29684,4869,23,6.7,21.6374269,20.36793693
29685,1027,12,14.1,9.212730318,16.14906832
29686,1079,20.5,29.7,16.34980989,22.61306533
29687,41749,12.5,7.7,12.80412982,18.6669818
29689,3913,15.3,10.1,13.58916479,21.95297505
29690,18211,13.8,8.8,10.61173533,15.69731082
29691,11251,17.8,9.7,19.5802983,18.07302055
29692,5333,24,13,16.71075838,21.19983786
29693,14264,20.3,11.4,19.89202658,17.49855741
29696,3806,14.8,11.5,10.23215821,15.84082157
29697,12140,9.9,10.1,14.25248139,13.43925852
29702,10126,24.6,18.2,26.12411743,19.22659564
29704,3419,19.4,10.1,15.02707581,18.21070643
29706,19859,25.5,17.7,16.87939052,15.08227163
29707,16556,7.2,8.8,6.0629691,11.7981106
29708,25831,4.6,7.1,2.95044592,7.595264521
29709,6328,28.1,10.9,19.57919345,12.85525446
29710,28298,10.5,11,10.56895252,12.10495944
29712,2345,11.2,9.7,14.52249408,10.15526647
29714,2587,29.2,16,21.71651495,18.98355755
29715,24562,9.1,6.3,6.611211573,11.48415438
29717,977,11,15.9,19.59564541,11.31386861
29718,3694,17.8,16.4,19.95967742,23.18731118
29720,46874,23.8,15.5,18.8596856,19.82626026
29724,0,-,0,0,0
29726,1892,19.9,14.6,25.20938023,31.41945774
29727,1286,19.4,8.6,21.4797136,17.74503523
29728,10270,28.1,10.6,31.88087148,21.33333333
29729,2304,19.1,17.3,15.32056619,17.89328427
29730,51248,20.6,14.8,15.03348416,19.21246546
29732,53665,10.6,8,5.700801304,10.62185311
29733,0,-,18.4,0,10.45638359
29741,1906,14.2,18.2,11.95652174,18.11377246
29742,2424,18.2,20.3,13.25301205,24.84848485
29743,995,8.3,21.8,13.73626374,17.53312946
29745,28951,17.6,13.2,14.37998869,16.95986336
29801,23945,23.8,11.7,13.47737403,19.43827113
29803,37163,10.7,9.2,6.61830889,9.24578815
29805,5743,27.8,9.4,18.80877743,12.38829508
29809,2211,20.6,11.2,12.2069523,13.76380629
29810,5093,39.7,27,20.96106048,23.18463693
29812,11115,30.5,15.7,11.77229182,13.05749597
29816,1331,42.5,11.5,22.3880597,20.17879949
29817,5667,26.5,17.5,17.14575583,18.61386139
29819,1302,24.6,17.1,23.96121884,22.61457551
29821,877,29.4,12.9,25.35816619,25.06738544
29824,6531,24.1,11.4,12.60306243,14.6838991
29826,82,51.2,14.3,29.6875,16.1971831
29827,3326,36.2,20.8,23.86299832,25.41776605
29828,1247,28.9,17.8,31.37996219,15.82792208
29829,8396,17.6,10.9,15.76721708,15.54698382
29831,3600,16.6,11.2,12.76703967,13.05571187
29832,5485,22.6,13.4,23.29624478,15.19434629
29834,1615,22.1,19.5,14.78537361,17.26190476
29835,6798,12.5,13.1,12.95585413,7.304373698
29836,759,12.3,16.3,22.36842105,11.8729097
29838,564,5.1,7.2,3.448275862,3.94265233
29840,170,20,54.7,57.77777778,8.979591837
29841,32317,15.9,9.8,7.933483457,14.12516595
29842,8908,33.2,15.8,18.42105263,26.28843655
29843,1735,28.2,16.4,25.43424318,23.77100187
29844,48,12.5,2.3,10.86956522,8.139534884
29845,1067,12.6,11.1,10.72727273,6.611570248
29847,4244,20.8,7.5,11.65413534,12.58865248
29848,1000,15.4,8.3,28.50940666,26.29969419
29849,163,39.9,36.3,13.23529412,38.96713615
29850,192,0,0,40.74074074,71.53284672
29851,7154,23,10.8,22.50396197,19.12008854
29853,6458,21.5,17.5,20.39131764,18.78539962
29856,3701,28.9,12.4,20.83562397,18.71281774
29860,14295,12.5,9.1,12.92770934,13.55671902
29899,0,0,0,0,0
29902,12898,16.4,7.8,9.053069719,15.85329564
29904,0,0,0,0,0
29905,119,0,0,31.42857143,18.34862385
29906,21226,12.1,12.1,7.997909043,19.78276174
29907,11992,8.4,5.6,6.610477607,10.46803357
29909,16765,3.1,7,4.436920884,2.530816412
29910,33642,13.2,10,11.01193565,25.13874264
29911,1722,20.3,7.6,20.38095238,15.98049837
29912,0,0,0,0,0
29915,599,51.1,23.1,50.66079295,21.22719735
29916,1591,15.7,11,21.19760479,17.95212766
29918,4057,30.8,15.7,21.62458836,20.23038157
29920,9028,17.9,11.5,10.89801444,18.23730216
29921,225,33.3,13,38.1443299,20
29922,1208,24,20.8,18.30065359,14.29848079
29923,576,13.5,24.1,48.79227053,12.18487395
29924,4000,27.1,18.4,12.92735043,19.08745247
29926,24146,8.5,6.8,9.988129557,19.76518219
29927,8037,22.7,8.1,22.34148777,34.79930624
29928,15555,6.9,5.6,8.437670114,13.20586361
29929,1044,17.1,5.1,11.13207547,18.3773216
29932,116,9.5,1.8,15.04424779,12.95546559
29934,1283,20.3,12.7,19.74063401,17.77163904
29935,3162,15.7,3.8,11.23595506,10.81756516
29936,12634,22.7,14.8,16.06113033,22.38244995
29939,235,38.3,25.9,27.41935484,12.3853211
29940,3922,33.7,18.4,20.48081368,18.95267836
29941,500,23.2,19.4,4.195804196,12.31884058
29943,468,31,0,9.467455621,1.694915254
29944,5405,20.7,11.4,11.45798738,12.37779008
29945,4391,33.7,18.6,19.65344277,17.84776903
